City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Oranjemund,NA,2022-12-09 20:43:51,-28.55,16.4333,63.28,92,5,6.4
67,Jawhar,SO,2022-12-09 20:43:51,2.7809,45.5005,76.21,82,88,9.69
68,Torbay,CA,2022-12-09 20:43:17,47.6666,-52.7314,38.75,97,100,13.0
69,Salinas,US,2022-12-09 20:42:07,36.6777,-121.6555,57.0,82,100,9.22
70,Dalvik,IS,2022-12-09 20:43:52,65.9702,-18.5286,31.93,86,99,3.94
71,Traverse City,US,2022-12-09 20:43:13,44.7631,-85.6206,32.2,72,100,9.22
72,Vila Franca Do Campo,PT,2022-12-09 20:43:52,37.7167,-25.4333,63.19,90,100,21.83
73,Mahebourg,MU,2022-12-09 20:43:53,-20.4081,57.7,77.29,78,75,3.44
74,Mahon,ES,2022-12-09 20:43:53,39.8885,4.2658,63.16,94,40,8.05
75,Ambovombe,MG,2022-12-09 20:43:54,-25.1667,46.0833,73.81,84,14,17.58
76,Arkhangelskoye,RU,2022-12-09 20:43:54,55.8549,35.3287,22.26,97,100,4.23
77,Ramygala,LT,2022-12-09 20:43:55,55.5167,24.3,11.12,98,80,3.65
78,Upernavik,GL,2022-12-09 20:43:55,72.7868,-56.1549,33.57,75,100,23.47
79,Ostrovnoy,RU,2022-12-09 20:43:56,68.0531,39.5131,19.94,86,100,22.79
80,Kaputa,ZM,2022-12-09 20:43:56,-8.4689,29.6619,66.13,91,100,5.48
81,Souillac,MU,2022-12-09 20:39:48,-20.5167,57.5167,77.38,78,75,3.44
82,Bambous Virieux,MU,2022-12-09 20:43:57,-20.3428,57.7575,77.25,78,75,3.44
83,Mosquera,CO,2022-12-09 20:43:57,4.7059,-74.2302,64.49,63,40,11.5
84,Mar Del Plata,AR,2022-12-09 20:41:07,-38.0023,-57.5575,73.42,75,75,13.8
85,Qaanaaq,GL,2022-12-09 20:43:57,77.484,-69.3632,5.92,79,100,4.41
86,Sovetskiy,RU,2022-12-09 20:43:58,61.3614,63.5842,-0.89,95,100,2.68
87,Punta Arenas,CL,2022-12-09 20:39:55,-53.15,-70.9167,55.42,66,75,11.5
88,Praia Da Vitoria,PT,2022-12-09 20:43:59,38.7333,-27.0667,61.05,94,75,28.14
89,Villa Maria,AR,2022-12-09 20:43:59,-32.4075,-63.2402,76.6,81,100,9.42
90,Rudsar,IR,2022-12-09 20:43:59,37.1376,50.288,49.98,87,94,4.32
91,Uyo,NG,2022-12-09 20:45:00,5.0333,7.9266,78.31,77,10,3.51
92,Abu Dhabi,AE,2022-12-09 20:43:56,24.4667,54.3667,77.02,57,20,12.66
93,Omboue,GA,2022-12-09 20:45:00,-1.5746,9.2618,77.04,89,93,6.82
94,Ondjiva,AO,2022-12-09 20:45:01,-17.0667,15.7333,74.75,51,42,10.2
95,Santa Cruz,BO,2022-12-09 20:40:50,-17.8,-63.1667,95.05,46,40,21.85
96,Georgetown,MY,2022-12-09 20:39:02,5.4112,100.3354,78.73,91,20,6.91
97,Saint-Philippe,RE,2022-12-09 20:41:13,-21.3585,55.7679,76.59,86,29,9.89
98,Nueva Londres,PY,2022-12-09 20:45:02,-25.4045,-56.5498,77.56,78,100,3.58
99,Chuy,UY,2022-12-09 20:45:03,-33.6971,-53.4616,84.43,50,10,14.25
100,Yarim,YE,2022-12-09 20:45:03,14.298,44.3779,49.24,41,15,3.4
101,Matagami,CA,2022-12-09 20:45:04,49.7502,-77.6328,5.11,78,75,2.3
102,Beira,MZ,2022-12-09 20:45:04,-19.8436,34.8389,80.69,78,20,7.0
103,Erlanger,US,2022-12-09 20:45:05,39.0167,-84.6008,51.1,86,100,5.75
104,Marienburg,PL,2022-12-09 20:45:05,54.0359,19.0266,32.04,88,30,1.61
105,Ostersund,SE,2022-12-09 20:45:06,63.1792,14.6357,21.65,100,40,8.05
106,Puyo,EC,2022-12-09 20:45:07,-1.4667,-77.9833,70.84,94,75,4.61
107,Radolfzell,DE,2022-12-09 20:45:07,47.7333,8.9667,34.68,97,100,0.94
108,Arraias,BR,2022-12-09 20:45:08,-12.9288,-46.9437,71.37,92,99,4.0
109,Gornopravdinsk,RU,2022-12-09 20:45:08,60.05,69.9,-3.86,92,100,2.91
110,Acarau,BR,2022-12-09 20:45:09,-2.8856,-40.12,80.33,78,97,16.2
111,Dunmore East,IE,2022-12-09 20:45:11,52.1514,-6.9861,32.0,80,100,3.44
112,Muisne,EC,2022-12-09 20:45:12,0.6,-80.0333,76.46,75,96,9.33
113,Tottenham,AU,2022-12-09 20:45:13,-32.2333,147.35,58.68,62,0,13.22
114,La Romana,DO,2022-12-09 20:45:15,18.4273,-68.9728,84.56,70,75,0.0
115,Korla,CN,2022-12-09 20:45:15,41.7597,86.1469,21.4,59,40,1.43
116,Mattru,SL,2022-12-09 20:45:16,7.6244,-11.8332,76.28,88,34,2.35
